product_key,product_id,product_name,sub_category_key
1,FUR-BO-10000112,"Bush Birmingham Collection Bookcase, Dark Cherry",5
2,FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",5
3,FUR-BO-10000362,Sauder Inglewood Library Bookcases,5
4,FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,5
5,FUR-BO-10000711,"Hon Metal Bookcases, Gray",5
6,FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,5
7,FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,5
8,FUR-BO-10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,5
9,FUR-BO-10001567,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",5
10,FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",5
11,FUR-BO-10001608,"Hon Metal Bookcases, Black",5
12,FUR-BO-10001619,O'Sullivan Cherrywood Estates Traditional Bookcase,5
13,FUR-BO-10001798,Bush Somerset Collection Bookcase,5
14,FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",5
15,FUR-BO-10001918,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",5
16,FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,5
17,FUR-BO-10002202,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",5
18,FUR-BO-10002206,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",5
19,FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,5
20,FUR-BO-10002268,Sauder Barrister Bookcases,5
21,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",5
22,FUR-BO-10002598,"Hon Metal Bookcases, Putty",5
23,FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",5
24,FUR-BO-10002824,Bush Mission Pointe Library,5
25,FUR-BO-10002853,O'Sullivan 5-Shelf Heavy-Duty Bookcases,5
26,FUR-BO-10002916,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",5
27,FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",5
28,FUR-BO-10003159,"Sauder Camden County Collection Libraries, Planked Cherry Finish",5
29,FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,5
30,FUR-BO-10003404,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",5
31,FUR-BO-10003433,Sauder Cornerstone Collection Library,5
32,FUR-BO-10003441,"Bush Westfield Collection Bookcases, Fully Assembled",5
33,FUR-BO-10003450,"Bush Westfield Collection Bookcases, Dark Cherry Finish",5
34,FUR-BO-10003546,Hon 4-Shelf Metal Bookcases,5
35,FUR-BO-10003660,"Bush Cubix Collection Bookcases, Fully Assembled",5
36,FUR-BO-10003893,Sauder Camden County Collection Library,5
37,FUR-BO-10003894,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",5
38,FUR-BO-10003965,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,5
39,FUR-BO-10003966,"Sauder Facets Collection Library, Sky Alder Finish",5
40,FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",5
41,FUR-BO-10004218,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",5
42,FUR-BO-10004357,O'Sullivan Living Dimensions 3-Shelf Bookcases,5
43,FUR-BO-10004360,Rush Hierlooms Collection Rich Wood Bookcases,5
44,FUR-BO-10004409,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",5
45,FUR-BO-10004467,Bestar Classic Bookcase,5
46,FUR-BO-10004690,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,5
47,FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,5
48,FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",5
49,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",5
50,FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs,6
51,FUR-CH-10000155,Global Comet Stacking Armless Chair,6
52,FUR-CH-10000225,"Global Geo Office Task Chair, Gray",6
53,FUR-CH-10000229,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,6
54,FUR-CH-10000309,Global Comet Stacking Arm Chair,6
55,FUR-CH-10000422,Global Highback Leather Tilter in Burgundy,6
56,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",6
57,FUR-CH-10000513,High-Back Leather Manager's Chair,6
58,FUR-CH-10000553,"Metal Folding Chairs, Beige, 4/Carton",6
59,FUR-CH-10000595,Safco Contoured Stacking Chairs,6
60,FUR-CH-10000665,"Global Airflow Leather Mesh Back Chair, Black",6
61,FUR-CH-10000749,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,6
62,FUR-CH-10000785,Global Ergonomic Managers Chair,6
63,FUR-CH-10000847,Global Executive Mid-Back Manager's Chair,6
64,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,6
65,FUR-CH-10000988,Hon Olson Stacker Stools,6
66,FUR-CH-10001146,"Global Task Chair, Black",6
